utc_date,caid,census_block_group
2024-07-23,00006385a2c1d9248f279c25e5e3c4ec28404d431787cc1a82da62d5e6144ec2,090091805002
2024-08-27,00006385a2c1d9248f279c25e5e3c4ec28404d431787cc1a82da62d5e6144ec2,090091805002
2024-11-16,00006385a2c1d9248f279c25e5e3c4ec28404d431787cc1a82da62d5e6144ec2,090091805002
2024-10-06,00020a73f86486ec23fe17a641d34d482c43fb5591d3e69edc41d31f43cc1dee,090117091003
2023-06-04,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2023-12-31,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-01-21,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-01-28,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-02-04,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-02-25,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-03-03,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-03-10,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-05-19,00048524472503318b00599ecc63b413afc33d03f8abfaac0fbb7e82c42786ab,090117161022
2024-09-25,0005bfa14fad43fe15c233c0d8c30fa9492fa40081f1a0d80d465e047f9e4e6f,090053102001
2024-10-02,0005bfa14fad43fe15c233c0d8c30fa9492fa40081f1a0d80d465e047f9e4e6f,090053102001
2024-10-09,0005bfa14fad43fe15c233c0d8c30fa9492fa40081f1a0d80d465e047f9e4e6f,090053102001
2023-06-21,0005e2540dd5455cd40cf8299b6fcdde96f0a4ee573346122ce357b25c60458e,
2022-12-26,00064adf8cab80ffff6cbad65611048416d817582ee71756c80d1bc8014cb7a3,
2023-08-20,0006aeb956cf35eaadeb63884ec25ae03324368bab2636f4f9f0fa76c71728be,090034942011
2023-02-25,000744e193a62d00d190d8bf20d95751a2c8dd7da913eec2f7f7e8455cb16b13,090091541002
2022-11-14,000a01d7981a99e112e56d59f4f4c03b82e17c207f1aed4f4fc7367f5810fe3e,
2023-01-01,000a01d7981a99e112e56d59f4f4c03b82e17c207f1aed4f4fc7367f5810fe3e,
2024-08-24,000a2c0fed5353c2942edbb14b1e4fd76751e84a4b725eb6099c6d7d26f41759,090117141033
2024-10-26,000a2c0fed5353c2942edbb14b1e4fd76751e84a4b725eb6099c6d7d26f41759,090117141033
2024-11-23,000a2c0fed5353c2942edbb14b1e4fd76751e84a4b725eb6099c6d7d26f41759,090117141033
2024-07-20,000cb42fec9c43ed252c912bc39968ab7ae4e87ea403ccc85bbeddc448d977e1,090091571002
2020-09-27,000d4ab499d27f1c0604329b25f0638ae266e129d0e925db35daf519d77d3c1e,250158214002
2023-07-23,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2023-07-24,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-02-04,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-06-09,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-06-30,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-07-21,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-07-22,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-08-04,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-08-11,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-09-08,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-09-09,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2024-10-27,0012788fddfdf0e615d9a7092939c4c0917534d16398b4386f7da59860840b17,250138135003
2021-07-18,0012d31b09183d1163ca83151a21a4c9a76413d90cf0effab0a578a3f533e6c7,240378760023
2024-11-02,001316bbad40e9661b69eeb91b043d41c0409679263b4dda2a16745af02efc7a,360594093003
2024-07-01,00140b6d7927e2f3fe3003578d74a2b40f3d1368660e9f9042a8cb18e0b4905f,090034174001
2024-08-12,00140b6d7927e2f3fe3003578d74a2b40f3d1368660e9f9042a8cb18e0b4905f,090034174001
2024-07-16,00179e439e5ac963aee758a2b57279503869a518fe847002d92bc727aff606f2,090159045001
2024-07-30,00179e439e5ac963aee758a2b57279503869a518fe847002d92bc727aff606f2,090159045001
2024-07-01,001832c640287f908c2107111493458536d13ec7d13a4fc3916a401f5b3f2491,090091423004
2023-05-20,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2023-05-21,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2023-10-29,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2023-11-04,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2024-05-04,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2024-05-05,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2024-07-06,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2024-10-19,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2024-12-14,001982a049bd405594b106503350bdb9072748aab5f2669f44a1f69bb48567b3,090034158002
2023-09-07,001b32a2316c49b08cae1ff63c700faeffaa78a97d6137f0f5324cda5f9b06f7,090075851004
2019-08-25,001bc605813fbfda5bd42224f8f2953db74c12dcd240c717fa3be0072812cb47,090091861001
2024-10-16,001d9c956043228a7d7ea2e149321700b15570f356580979c7d5b9d12b21accb,090034701004
2024-12-11,001d9c956043228a7d7ea2e149321700b15570f356580979c7d5b9d12b21accb,090034701004
2024-12-30,001fa55d1980f54330d09fa0f3c33203711a3c112152193c35496c60b655a9d6,090034842001
2023-08-27,001ff913533fd8fe7b841fef9a1fb2c0c85428b3ac67724954a6dc88e5f25bed,250138124041
2022-11-29,0021339e17216d4cfbbc0a55cec37ff8ea3d321b251aa02e4e7dea086170adf5,
2023-03-30,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2023-03-31,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2023-04-01,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2023-04-15,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2023-04-16,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2023-04-17,00257932b3df983fafe0c475cbfcbaae4eeb9526a183228a147b5715313c41f8,090117001003
2024-09-24,00266c05069d4eb6f562e591c49bfedabe9c3cf3f23e35ae32a6bec094f3de41,
2024-09-15,002a0caf0d87d854cd6977f3527442ad728d243f5cef96db8ae268ad4a45c1c2,
2024-07-11,002c234ddc003b5af9fae934c8ea16adc90938d3ce3de8cad01dda8913ac07aa,090091802005
2024-11-14,002c234ddc003b5af9fae934c8ea16adc90938d3ce3de8cad01dda8913ac07aa,090091802005
2024-11-21,002c234ddc003b5af9fae934c8ea16adc90938d3ce3de8cad01dda8913ac07aa,090091802005
2022-12-15,002e656582d34c683492c53ff6234cc46def640f87e056948f123816eb20ba50,090091712004
2022-12-16,002e656582d34c683492c53ff6234cc46def640f87e056948f123816eb20ba50,090091712004
2024-07-06,0031e19c191161147635b89a6e9fbf153f13bbfb75439b4872e400d733c212e5,090012571001
2024-08-10,0031e19c191161147635b89a6e9fbf153f13bbfb75439b4872e400d733c212e5,090012571001
2023-10-29,0034506c5795f19acc1cb06ebb916a32525dfeca5625cbacaa89a6fc4362cad9,090075901003
2024-01-07,0034506c5795f19acc1cb06ebb916a32525dfeca5625cbacaa89a6fc4362cad9,090075901003
2024-05-05,0034506c5795f19acc1cb06ebb916a32525dfeca5625cbacaa89a6fc4362cad9,090075901003
2023-04-24,0034b309bcdfd13cb2af8dea8299a234f2f14d217478b19af476c48bb61412af,090116936001
2023-09-24,0034d3efd0faabdc9ef9f4ad77eefe325b5ea2e748e1712bd796bfc5f751c40f,090034303022
