other_safegraph_place_id,other_location_name,other_city,other_state,other_top_category,other_sub_category
1269be295f80486780a44e52bab3f470,,uncasville,CT,Traveler Accommodation,Hotels (except Casino Hotels) and Motels
2b8a9a772cc245ed9537b5fffb04f965,,mystic,CT,Restaurants and Other Eating Places,Full-Service Restaurants
425c02a9f7854d3f8df9e78a7e3ba9da,,mashantucket,CT,Restaurants and Other Eating Places,Full-Service Restaurants
4c7b0826c6e04c8d94d80031c0de5232,,uncasville,CT,Clothing Stores,Family Clothing Stores
54652f74fbdf43cdad8a66427bf5a13c,,mystic,CT,Restaurants and Other Eating Places,Full-Service Restaurants
8a56ab5332c147ac8eb03c9f5a69edbd,,quaker hill,CT,Home Furnishings Stores,All Other Home Furnishings Stores
92e807a08df64e06a1dbb52465834cf4,,uncasville,CT,Other Miscellaneous Store Retailers,Tobacco Stores
db9b2bc3e5c24874bef2a579cbadceb7,,Uncasville,ct,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
ed97bcaf60954ffd99a286fbdf9abe9c,,uncasville,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
f86612d7614440caa9611add5bce38dc,,mystic,CT,Clothing Stores,Women's Clothing Stores
fee8b4bb1a7c45c88214b3bd162a36a7,,mashantucket,CT,Shoe Stores,Shoe Stores
28717d9269634ef9a046ac2e62f783bb,,enfield,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
ac4fee31b4d142198a53924eb97a3fcc,,enfield,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
05829564433049628d3f018abf6ead27,,Canaan,ct,Restaurants and Other Eating Places,Full-Service Restaurants
200a053755f04fe686f7dbb0a7e155c3,,danbury,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
3f8ed5b09c5b4327a719970b667b522a,,hartford,CT,"Museums, Historical Sites, and Similar Institutions",Historical Sites
78cc36e3a79d40daab812b6b3b0cfdd1,,hartford,CT,"Museums, Historical Sites, and Similar Institutions",Historical Sites
afd33032f7f849cb8f1c85501ebc9caa,,wallingford,CT,Other Information Services,Libraries and Archives
0cc49e076d1d4c5bb4db06c185bfbdae,,Westerly,ri,Individual and Family Services,Other Individual and Family Services
82dd4df4159440e9b703b0266d7c2c7c,,new fairfield,CT,Religious Organizations,Religious Organizations
91a4c01a0a184fa29ea64122427f4acc,,Danbury,ct,Elementary and Secondary Schools,Elementary and Secondary Schools
61ed68c6ec7242abbdfe0cc969061f20,,westerly,RI,Restaurants and Other Eating Places,Full-Service Restaurants
4ce92590cd0d4463a095ab5d4248752c,,canton,CT,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
7ee89e9edcd74526b5d9f3fbaa53d02a,,west springfield,MA,Other Schools and Instruction,Sports and Recreation Instruction
8576c3b2ce764f4daa1c03c9a794262f,,agawam,MA,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars
40be6f5d604446cd8c2354e249dfce3a,,simsbury,CT,Health and Personal Care Stores,Pharmacies and Drug Stores
64a596efade64b6a9beeb2ab84fe0c4c,,Canton,ct,Restaurants and Other Eating Places,Full-Service Restaurants
c6d33b303fe2468597fdcb9a710a8011,,canaan,CT,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
2b1b92be55334c3983f3cf3cb87d2f02,,middlebury,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
952e9fb8bea74020952e6b463603f89f,,middlebury,CT,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages)
10dd39a0eb16435aa2d99f1a7a6fd513,,Jewett City,ct,Child Day Care Services,Child Day Care Services
5b5fa1a3e7be42ba966959fd355aef3e,,uncasville,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
959ae0b90e4e463abc486a31d0713b80,,Waterford,ct,Department Stores,Department Stores
a8dccc78d38045698cb7cfd8dd22cce3,,colchester,CT,Furniture Stores,Furniture Stores
1bf16c23f63140ac8756c890209910e8,,Guilford,ct,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
295a793908a54bd5bf94ffb44f06e761,,madison,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
2bbbadab9a6043afa899a15753dc30fb,,Guilford,ct,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores
72d2b61d0b944c2f9d2dfca5ea22df60,,guilford,CT,Health and Personal Care Stores,Pharmacies and Drug Stores
9fbd9aebc04a448a88a7faca4425844c,,wallingford,CT,"Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores"
b71b279a706440eda4ad0dab1bfd8d5a,,guilford,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
2e0075bc4d6e4e5f93a979161cc5c6ed,,somers,CT,Restaurants and Other Eating Places,Full-Service Restaurants
03690957827b48b580cca2c74b9396cf,,watertown,CT,Restaurants and Other Eating Places,Full-Service Restaurants
198844cfccf844c5944bfc3324b33ea9,,watertown,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
2fd043893c8a47aeb9a13467be531708,,naugatuck,CT,"General Merchandise Stores, including Warehouse Clubs and Supercenters",Warehouse Clubs and Supercenters
9a959d95bf67430e8dfdb681e6f21362,,canton,CT,Health and Personal Care Stores,Pharmacies and Drug Stores
d482fb8f2f5845b789d9c5fd0de0ca24,,torrington,CT,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers
daadc8f2eea74a0291eb95419c7cf82d,,torrington,CT,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores
0db37dcc0070414e97223a356a90a4e3,,west hartford,CT,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores
18c2cbdb6f28412ab5592514b510519c,,milldale,CT,Restaurants and Other Eating Places,Limited-Service Restaurants
