winery_safegraph_place_id,winery_locations_name,winery_city,winery_state,winery_top_category,winery_sub_category
4b8984deb44443b790def195980b7498,Jonathan Edwards Winery,north stonington,CT,Beverage Manufacturing,Wineries
e7e5c58aa1bb428a92b99dd99dd71704,Rosedale Farm and Vineyard,simsbury,CT,Beverage Manufacturing,Wineries
0f126225392648a0984ea1e9da91f832,Land of Nod Vineyard,canaan,CT,Beverage Manufacturing,Wineries
da3841101b07495fa5fb73b8c824e8de,Shelter Rock Winery,danbury,CT,Beverage Manufacturing,Wineries
ed9adff6255d4001b4a8e57c12e10eaa,Gouveia Vineyards,wallingford,CT,Beverage Manufacturing,Wineries
ca308b3f4c4d41bf9a1ceeb8f8b290e2,Stonington Vineyards Inc,stonington,CT,Beverage Manufacturing,Wineries
287e017be6854615b8f1db71cf035aba,White Silo Farm & Winery,sherman,CT,Beverage Manufacturing,Wineries
f55e98f9890449089a577c8b52db16a7,Brignole Vineyards,east granby,CT,Beverage Manufacturing,Wineries
2b9c1d49eee5450a817bc846a16b84fd,Hawk Ridge Winery,watertown,CT,Beverage Manufacturing,Wineries
ccfa56561ff348cba39367b69824137e,Preston Ridge Vineyard,preston,CT,Beverage Manufacturing,Wineries
19788bae051f43bc96c617e63c1c221b,Paradise Hills Vineyard & Winery,wallingford,CT,Beverage Manufacturing,Wineries
176cc83cef304736afe02c9d0ee6e138,Saltwater Farm Vineyard,stonington,CT,Beverage Manufacturing,Wineries
d285bc21a8714fb5b3013cac06e6ddb7,Chateau Le Gari,marlborough,CT,Beverage Manufacturing,Wineries
f8c767ef56234286aec8659c2fbd0e23,Arrigoni Winery,portland,CT,Beverage Manufacturing,Wineries
2f1c069604614399872e767a423082bb,Hopkins Vineyard,warren,CT,Beverage Manufacturing,Wineries
5342bfa14bfc4a1eb0bfa15249564492,Joseph Preli Farm and Winery,south glastonbury,CT,Beverage Manufacturing,Wineries
deaac94dc2114906bbb587b4723a4010,Rosabianca Vineyards,northford,CT,Beverage Manufacturing,Wineries
f8b17250730045079c62d0fbad90964f,Jerram Winery,new hartford,CT,Beverage Manufacturing,Wineries
6f34f97b14494605a6f2d2c43674ac4f,Chamard Vineyards,clinton,CT,Beverage Manufacturing,Wineries
8069297cd11e49f99c80a86bd33a8c5f,Maugle Sierra Vineyards,ledyard,CT,Beverage Manufacturing,Wineries
05d0876a91234d8a94c3ca5753be8a82,Lebanon Green Vineyards,lebanon,CT,Beverage Manufacturing,Wineries
bc75c725f204407e8f16fc959cdc20f2,Connecticut Valley Winery,new hartford,CT,Beverage Manufacturing,Wineries
b6736ffc9ca6414cb415d0fe77f48a66,Walker Road Vineyards,woodbury,CT,Beverage Manufacturing,Wineries
00eaa362692240fbbfa44303099bdfd6,Heartstone Winery,columbia,CT,Beverage Manufacturing,Wineries
64f3ac69119d45829bfb7e7e0938b386,Cassidy Hill Vineyard,coventry,CT,Beverage Manufacturing,Wineries
9d17583672984803b28b297f46fd0dc3,Lost Acres Vineyard,north granby,CT,Beverage Manufacturing,Wineries
d772fbd31bc045c39f012bec97d64acd,Savino Vineyards,woodbridge,CT,Beverage Manufacturing,Wineries
1515c94c11bb43278f7b6d9ba205d4db,R Dee Winery,enfield,CT,Beverage Manufacturing,Wineries
f51a097b55333269b6448251d49ad4cb,Bergen House,middletown,CT,Beverage Manufacturing,Wineries
11c4e0587a3831cf95564061262e3cc1,Summit Wine Cellars,bantam,CT,Beverage Manufacturing,Wineries
356d487fbcc130cfb910105b4dda9640,Rose Vineyards and Winery,north branford,CT,Beverage Manufacturing,Wineries
93d179157e2f32de87bf033df8e96cff,Stappa Vineyard,orange,CT,Beverage Manufacturing,Wineries
2e9d7218809a3efbb4371f5a46d7b058,Aquila's Nest Vineyards,sandy hook,CT,Beverage Manufacturing,Wineries
5a9ec839448d3ef7960fb1cd85a75431,The Wine Press,north haven,CT,Beverage Manufacturing,Wineries
98256bfd4e3936d383fd4c91506ce8c1,Cocchia & Sons,norwalk,CT,Beverage Manufacturing,Wineries
f26474d82c2e3c6ebc04313a15376c24,MyBoozeBox,windsor locks,CT,Beverage Manufacturing,Wineries
e4f9c844dfa134fd9151089567a3478c,VI Sco,bethel,CT,Beverage Manufacturing,Wineries
f9fcb2a6b7763d97b11f5e0d84e1cee1,Divine Wine Emporium,east lyme,CT,Beverage Manufacturing,Wineries
90ea6aafc25e36589ddba9494994ad62,The Vineyard at Hillyland,windham,CT,Beverage Manufacturing,Wineries
44b25b2a2e003020996b920c26667d06,Beringer Blass Wine Estates,norwalk,CT,Beverage Manufacturing,Wineries
b31d44399d0830da92dd09064cb53b3b,Spring Hill Vineyards,washington depot,CT,Beverage Manufacturing,Wineries
