a	b	label
40	17424	1
23	22675	1
4	11435	-1
49	8751	-1
16	4880	1
42	12336	1
39	28998	-1
39	7621	-1
40	19092	-1
46	16350	1
6	1296	1
46	17629	1
12	10160	-1
7	29003	1
30	16749	-1
6	2329	-1
16	9111	1
25	29045	-1
11	29367	-1
21	23505	-1
8	3814	1
25	28998	1
48	30896	-1
9	24523	-1
28	21026	-1
28	17187	1
17	10426	1
11	7871	-1
4	30015	1
32	25839	-1
24	9739	-1
43	25476	1
26	20588	-1
8	30188	-1
43	31077	-1
8	14846	-1
17	27429	-1
46	20955	1
46	29645	1
17	5728	1
0	12812	1
10	24564	-1
48	26444	-1
43	10174	1
40	22333	1
46	7258	-1
13	21804	-1
46	13365	-1
20	23779	-1
28	7097	-1
14	13196	1
28	2643	1
48	28354	1
24	18427	-1
10	543	-1
23	14068	-1
29	30059	1
43	29182	1
34	14541	-1
48	28250	-1
48	5458	-1
45	14357	-1
4	18759	1
1	9007	-1
46	25753	-1
18	13276	-1
28	27730	-1
1	15613	1
44	12692	1
49	12245	1
5	15596	-1
9	12947	1
45	14176	-1
42	18093	1
15	3557	1
13	21993	1
27	15341	-1
4	11213	1
49	16781	-1
46	18565	1
39	6856	-1
38	15058	-1
45	16720	-1
32	21646	-1
21	9322	-1
25	13347	-1
48	13188	1
13	41	1
46	19165	1
12	5867	-1
26	5052	1
27	13535	-1
41	21639	-1
49	26861	-1
45	6186	1
13	21212	1
7	19272	-1
5	27096	-1
35	21529	-1
38	25485	-1
37	105	-1
9	7087	-1
40	2400	-1
5	26049	1
24	4772	-1
30	11048	-1
16	26565	1
0	24644	1
38	18540	-1
16	28170	1
25	9352	-1
5	30461	1
38	8847	-1
37	26959	-1
43	12490	1
16	27559	-1
42	11290	1
33	22858	-1
41	10717	-1
30	23276	-1
26	18150	1
43	11585	1
15	8981	1
44	14679	-1
9	11940	1
37	8393	1
40	29575	1
8	21269	1
41	3557	-1
19	132	-1
41	18431	-1
19	7253	1
8	7897	1
5	29288	1
8	12905	-1
1	8092	-1
22	13275	-1
18	22846	-1
17	18453	-1
1	24874	1
16	10392	-1
2	7236	-1
36	26151	1
23	2812	-1
29	17104	-1
46	30886	-1
25	25175	-1
7	5781	1
19	25798	-1
10	14627	1
1	20602	1
5	22194	-1
41	29058	-1
43	26247	1
27	749	-1
46	7518	1
11	8552	-1
43	24000	1
31	552	-1
15	22566	-1
46	4673	1
41	18809	1
8	2028	1
13	16487	1
40	7601	-1
8	13661	1
40	11703	1
1	8142	-1
30	18507	1
12	18640	-1
43	588	1
43	28188	1
0	22586	-1
42	10413	1
24	12032	1
48	25178	1
35	9210	1
43	1028	1
44	13768	-1
25	14900	-1
30	10498	-1
31	11989	-1
45	14465	1
48	6648	1
27	15037	-1
37	18816	-1
25	7333	1
28	28642	1
13	2576	1
23	14905	1
28	4004	-1
16	24613	1
47	11516	-1
6	28407	-1
13	16579	-1
5	29013	1
48	2566	1
9	19402	-1
23	8570	1
47	19024	-1
16	1975	1
43	23270	1
40	15910	1
30	25128	-1
43	28123	1
5	2808	1
8	23027	-1
27	18649	-1
49	5953	-1
46	10033	-1
18	19591	1
4	29592	1
29	30177	-1
48	12505	-1
23	30327	-1
11	3411	-1
44	18523	-1
26	2182	1
47	10055	-1
18	22325	1
46	13510	1
4	2558	1
40	26730	1
13	25446	-1
46	25881	-1
48	7016	1
8	14107	1
6	14398	1
5	14741	1
18	28667	-1
32	13342	-1
6	18109	1
27	21086	-1
43	20567	1
31	20474	-1
10	14324	1
23	18703	1
23	4962	-1
10	5489	1
19	20328	-1
19	14265	-1
42	31050	1
22	10436	-1
36	18582	1
23	10472	1
20	17142	-1
48	22658	1
43	3154	1
4	11159	-1
33	21777	-1
22	18449	-1
48	14050	1
4	7856	-1
40	4874	1
30	21797	-1
11	10135	-1
46	18369	1
8	24910	1
48	18158	1
46	8079	1
4	14836	1
8	12135	-1
24	25283	-1
7	10096	-1
42	30444	1
14	26543	-1
42	227	1
40	26042	1
21	20150	1
43	27666	1
14	12401	1
46	25854	1
13	2881	-1
27	29657	-1
22	22123	-1
43	27389	1
8	30410	1
49	30076	-1
23	27692	-1
12	18554	-1
40	21860	1
13	28341	1
17	19928	1
44	7681	-1
36	8204	-1
18	10829	1
26	2072	-1
17	30814	-1
13	14977	1
4	22393	-1
13	12693	1
22	21176	-1
20	5916	-1
3	28947	-1
20	22194	-1
34	26773	1
1	30346	1
44	27414	-1
8	21426	-1
12	17216	1
26	15523	-1
43	21877	1
48	21269	1
10	12991	-1
42	4828	1
16	19158	1
18	18263	1
48	29825	1
37	19039	-1
33	26667	-1
13	4183	1
7	5439	-1
11	25378	-1
43	7953	-1
9	9515	-1
16	2250	-1
18	29181	1
16	14841	-1
41	9201	-1
6	26689	1
34	28842	-1
19	23508	-1
43	11364	1
30	27822	1
43	20632	1
29	25886	1
31	17253	-1
4	13651	-1
7	15073	-1
0	18798	-1
45	15472	1
9	10688	1
43	24489	1
2	25669	-1
9	4239	-1
35	11548	-1
27	10386	-1
46	18988	1
1	20050	1
47	28859	-1
23	4302	1
13	26848	1
18	22887	1
20	4402	-1
7	28701	-1
40	14102	-1
23	29208	-1
14	7569	1
49	11114	-1
22	21003	-1
46	25683	-1
44	6149	-1
43	12801	1
6	26630	1
40	9714	1
9	15779	-1
32	24004	-1
17	21840	1
16	30159	1
6	3514	1
13	8154	1
21	13	1
17	28008	-1
6	13965	1
1	16411	-1
1	28864	1
43	17073	1
20	21689	1
39	15867	-1
18	26785	1
45	3457	-1
41	8166	-1
4	5516	-1
8	29927	1
13	16704	1
16	18075	-1
32	8635	1
43	3253	1
15	16509	-1
34	19915	-1
34	29633	-1
36	24746	-1
5	10203	1
31	8393	-1
23	28185	-1
25	24554	1
48	22352	1
2	26504	-1
21	22076	-1
28	2772	-1
8	14966	1
45	7225	1
38	16681	-1
45	2524	1
49	9673	1
9	26938	-1
27	6674	-1
32	3964	1
45	23217	-1
24	2375	-1
46	18118	1
6	1717	1
36	30020	1
13	15713	1
28	1332	1
35	23840	-1
21	30558	1
18	17817	-1
15	19895	-1
48	30857	1
48	28033	1
35	31016	1
9	23219	1
0	8942	1
45	16086	-1
40	7213	1
5	13494	-1
36	19335	-1
8	19018	-1
42	28309	-1
2	25583	-1
42	1725	-1
43	6140	1
16	3534	1
46	19203	-1
3	5865	-1
43	17177	1
11	5101	-1
22	12972	-1
4	16905	-1
8	5930	1
8	20099	-1
6	2491	1
40	5267	1
6	4138	1
36	30271	-1
35	9072	-1
8	1238	1
8	30167	1
48	19436	1
35	3011	-1
40	28064	1
22	12922	-1
17	30232	-1
4	11523	-1
43	11319	-1
40	514	-1
42	13597	1
42	24242	1
44	20563	1
40	14852	-1
18	15183	-1
38	11646	-1
40	19168	1
6	26749	1
14	12749	-1
35	18127	1
8	15262	1
10	22685	-1
46	14736	1
43	1070	-1
42	1000	1
2	29717	-1
25	1266	-1
36	7106	1
45	24305	1
43	7533	-1
42	23917	1
2	11935	-1
39	1184	-1
37	16817	-1
28	14061	-1
46	21252	1
38	18187	-1
42	3112	1
40	25519	1
44	2477	-1
25	2062	-1
36	28800	1
42	2999	1
38	19864	-1
32	22372	-1
49	7868	1
43	27299	1
6	24748	-1
33	14684	-1
40	20387	-1
23	29714	-1
6	23229	1
36	15434	1
1	1273	1
42	23033	-1
25	8664	-1
42	18600	1
5	22406	-1
13	23	1
19	15781	-1
45	20461	1
22	17754	-1
5	24584	-1
28	4302	-1
46	15880	1
33	8412	-1
4	18352	1
11	2650	-1
24	30518	-1
24	21887	-1
40	18407	-1
44	22717	-1
34	12952	-1
34	29146	-1
39	16878	-1
43	464	1
13	18689	1
21	7146	-1
6	18477	-1
6	5595	1
16	2686	-1
43	4243	1
39	2378	1
20	7651	-1
7	10168	-1
40	9039	1
38	689	-1
44	16805	-1
40	21878	-1
27	24253	-1
20	14954	1
47	10526	1
49	21678	1
43	2466	1
44	23929	1
43	31033	-1
38	7173	-1
4	24691	-1
34	18217	-1
43	30011	1
10	10314	-1
42	21634	-1
12	7966	1
24	5013	1
38	4936	1
37	14916	-1
42	17910	-1
2	12695	-1
8	3456	-1
7	9369	-1
17	11672	-1
35	28082	1
12	2236	-1
35	2971	-1
29	5651	-1
31	21248	-1
11	17396	-1
17	69	-1
31	22105	-1
35	8821	-1
36	6244	-1
21	27550	1
36	5362	-1
48	6285	1
21	501	1
49	19991	-1
49	2922	-1
46	30157	-1
2	17486	-1
7	29185	-1
43	27849	1
47	28969	-1
30	29757	-1
40	15966	-1
43	4843	-1
1	25852	-1
21	1173	-1
12	13932	-1
31	10896	-1
25	8400	-1
47	27006	1
14	5816	-1
13	17966	-1
2	7329	-1
34	8095	-1
29	14968	-1
37	22585	-1
44	24491	-1
11	25008	-1
43	29351	1
39	10434	-1
0	2296	1
18	17596	1
12	4054	-1
47	15982	-1
26	21263	-1
40	17194	1
5	19227	-1
14	16175	-1
13	3273	1
3	30158	-1
5	4190	1
43	8029	1
16	10820	1
13	5297	1
43	17758	-1
24	19790	-1
4	5597	1
18	8918	1
11	21858	-1
39	722	1
31	24497	-1
21	7214	-1
6	28854	1
37	21784	1
12	11185	1
46	4133	-1
48	7440	1
13	17055	1
43	22462	1
39	21888	-1
6	4553	1
10	21714	-1
38	13420	1
34	30874	-1
7	3254	1
9	14900	-1
45	3937	1
32	8249	1
21	3228	-1
43	18106	1
4	5486	1
9	23244	-1
48	8225	1
40	9093	1
39	1320	-1
42	2902	-1
42	16776	1
28	23772	1
26	3207	-1
29	23584	-1
5	8031	-1
38	10765	1
48	6244	1
34	30855	1
29	19713	-1
1	13636	-1
8	1265	1
27	1612	-1
13	579	1
39	8221	-1
46	28411	1
13	9152	-1
0	10689	1
48	17733	1
28	2849	-1
2	7860	-1
8	8372	1
23	13503	1
44	16150	-1
8	16204	1
11	16197	-1
35	8031	-1
39	8309	-1
22	21621	-1
48	14325	1
14	15589	-1
45	22307	-1
44	6809	-1
6	22828	1
43	9760	1
46	17960	-1
34	3243	-1
29	14052	1
16	18287	-1
48	14618	1
18	21078	1
43	5119	1
15	4070	-1
38	7211	1
41	13097	-1
9	28391	-1
17	7705	1
14	4620	1
44	19466	1
16	28343	-1
37	2854	1
19	14952	-1
15	29885	-1
43	16072	1
6	9848	1
43	1801	1
4	17919	1
12	24079	-1
2	19373	-1
35	30537	-1
10	7429	-1
23	11921	-1
43	3000	1
16	4206	1
11	6597	-1
45	10112	-1
8	7211	1
16	27896	1
16	15655	1
40	19794	1
28	19307	-1
38	4078	-1
43	12760	-1
43	19734	1
48	29422	1
46	9304	-1
48	28059	1
29	6958	-1
13	30656	1
18	2696	1
14	4649	-1
12	3130	-1
