winery_idx,winery_safegraph_place_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0,00eaa362692240fbbfa44303099bdfd6,0.11407986,-0.441041,-1.4017746,-0.5815419,-0.17033523,0.10585073,0.022235394,-0.68872523,-1.7252922,0.026017725,-1.0424737,0.2302137,-1.0203624,-0.39955273,0.8562399,0.0061025172,-0.1763634,-0.25547856,-1.3624709,1.0432028,0.564973,-0.7612817,0.49118364,0.5838683,-1.1741378,-1.3492348,0.34484348,0.5588607,-1.1184736,-0.959002,-1.6869993,-0.568191
1,05d0876a91234d8a94c3ca5753be8a82,-0.8192947,-1.1036127,-1.3152007,-0.4027519,0.41662776,-0.424433,0.03817433,0.031156674,-0.9301207,-0.4485808,-0.20286265,-0.23514539,-0.4513753,-2.0199814,0.11407004,-0.0062857084,0.39832637,-0.6429852,-0.23659681,0.048456267,0.43690932,0.3240742,0.5947924,-0.32853913,-0.36572403,-1.5486742,-0.50684136,-0.03519135,-1.4140526,0.06237626,0.3065858,0.3297814
2,0f126225392648a0984ea1e9da91f832,0.38176575,-0.05397162,-0.2095041,-0.27931532,-0.1800173,0.053625673,-0.2724056,-0.3871358,-0.8516676,0.443468,-0.694109,0.16139176,-1.1098161,0.11820954,0.46370926,0.039594993,-0.48431188,0.9720941,-1.1409407,0.8336442,0.0583158,-0.21918876,-0.8698377,0.2079042,-0.5165379,-0.58628047,0.1346449,0.7104142,-0.64653176,-0.15071088,-1.000876,-0.47558498
3,11c4e0587a3831cf95564061262e3cc1,0.13159367,-0.5353889,-0.62265366,-0.52975154,0.32286096,0.5449766,-0.9845479,-0.79664665,-0.41042882,-0.50545275,-0.37611765,0.70112634,-0.9545559,-0.03857237,-0.067044854,-0.15997262,0.5111053,-0.46917415,-1.1561277,0.035475627,-0.38093448,-0.4470536,1.1690353,-0.028301805,-0.46955276,-0.22860347,0.8319235,0.22574137,-0.33177644,-0.32816616,-0.20414108,0.063434914
4,1515c94c11bb43278f7b6d9ba205d4db,-1.0104831,0.1809127,0.42714685,0.023279473,-0.48243797,-0.6516845,-1.1375933,-0.29133368,0.36797178,-1.3840733,0.0584355,-1.5529675,-0.9096466,0.37898824,-0.5434618,-0.28512907,0.0036953008,0.05635941,-0.6911783,-1.7516366,0.16740808,-0.19129005,-0.6700691,-0.8120606,0.5161028,0.6452774,-1.4595903,-0.73511064,0.13217092,-0.20575655,-0.48943454,-0.039993376
5,176cc83cef304736afe02c9d0ee6e138,-0.30944687,-0.7841239,-0.025015652,-0.004232779,0.33259565,-0.13686189,-1.812985,0.6924268,0.63475484,-1.0235242,0.17854744,-0.561811,-0.9978825,-0.45685756,-0.826331,-0.1852006,-0.1561592,0.2866436,0.08909443,-1.4701225,-0.05451446,0.2123834,-0.34880212,-0.4360422,-0.1575683,-0.5599115,-0.35534513,-0.329748,0.05234006,0.13715692,0.3442819,0.09381954
6,19788bae051f43bc96c617e63c1c221b,-2.6317506,-0.0054138303,0.5995748,0.025869086,-1.4243963,-0.8111541,-0.23155138,-0.1350619,0.4130882,-0.23198164,-0.86897844,-0.4461693,-0.80945647,-0.3655797,0.51444685,0.076666385,0.1835204,0.6036654,-0.18939532,0.1613272,-0.16731843,0.04692647,-2.2839298,0.26726937,0.18797316,-0.3827216,-1.7245806,-0.3966269,-0.30985335,0.2886871,-0.48980287,-0.0448855
7,287e017be6854615b8f1db71cf035aba,-0.06577763,-1.1349186,-1.0411935,-0.059863463,-0.12117994,-0.40822574,-1.0270436,-0.05999385,-0.46617818,-0.26104933,0.12330872,-1.3267887,-2.0111592,-0.7872324,-0.95179063,-0.30075485,-0.16852787,-0.62027663,-0.50440365,-1.0363939,0.20087773,-0.30264288,-0.2184743,-1.0722469,-0.46734405,0.26045895,-0.85608935,-1.3177508,0.07666248,-1.1607751,-0.1602254,0.07693891
8,2b9c1d49eee5450a817bc846a16b84fd,-2.0849233,-0.102057785,0.3168996,0.1451905,-1.7354347,-1.2301039,0.33583373,-1.2936187,0.44422817,-0.3547666,-1.136452,-0.34549135,-0.44402647,-0.15371828,-0.7033901,0.29903853,0.28191835,-0.32317463,-1.3357354,-0.9622658,0.2806894,0.018754631,-0.57760495,-0.23540092,0.53598994,-0.07292825,-1.154731,-0.8998468,-0.2466585,0.18759198,-0.57168996,-0.0067951977
9,2e9d7218809a3efbb4371f5a46d7b058,0.38151667,-0.17333843,0.008247882,0.11546981,-0.11570946,0.8146552,-2.1846206,0.45724523,-0.08253761,-0.06214121,-0.25516036,-0.675735,-1.9303963,0.13287497,0.23513925,-0.110915124,-0.42201468,0.83167964,0.32144928,0.05379115,-0.74548876,-0.4554062,-0.1441658,-0.03254479,-0.93107474,-0.2352712,0.35890877,0.29976183,0.25472808,-0.46011782,-0.600707,-0.51038975
